Date;Heures;Consommation(MW)
01/01/2023;00:00;3775
01/01/2023;00:15;3719
01/01/2023;00:30;3644
01/01/2023;00:45;3558
01/01/2023;01:00;3530
01/01/2023;01:15;3464
01/01/2023;01:30;3449
01/01/2023;01:45;3391
01/01/2023;02:00;3339
01/01/2023;02:15;3290
01/01/2023;02:30;3251
01/01/2023;02:45;3198
01/01/2023;03:00;3166
01/01/2023;03:15;3129
01/01/2023;03:30;3102
01/01/2023;03:45;3048
01/01/2023;04:00;3011
01/01/2023;04:15;2993
01/01/2023;04:30;3005
01/01/2023;04:45;2949
01/01/2023;05:00;2963
01/01/2023;05:15;2965
01/01/2023;05:30;2962
01/01/2023;05:45;2965
01/01/2023;06:00;2944
01/01/2023;06:15;3002
01/01/2023;06:30;2974
01/01/2023;06:45;2972
01/01/2023;07:00;2984
01/01/2023;07:15;3002
01/01/2023;07:30;3007
01/01/2023;07:45;3019
01/01/2023;08:00;3069
01/01/2023;08:15;3084
01/01/2023;08:30;3100
01/01/2023;08:45;3069
01/01/2023;09:00;3084
01/01/2023;09:15;3141
01/01/2023;09:30;3203
01/01/2023;09:45;3240
01/01/2023;10:00;3289
01/01/2023;10:15;3388
01/01/2023;10:30;3451
01/01/2023;10:45;3493
01/01/2023;11:00;3533
01/01/2023;11:15;3602
01/01/2023;11:30;3657
01/01/2023;11:45;3695
01/01/2023;12:00;3758
01/01/2023;12:15;3821
01/01/2023;12:30;3859
01/01/2023;12:45;3859
01/01/2023;13:00;3878
01/01/2023;13:15;3913
01/01/2023;13:30;3916
01/01/2023;13:45;3898
01/01/2023;14:00;3909
01/01/2023;14:15;3914
01/01/2023;14:30;3878
01/01/2023;14:45;3897
01/01/2023;15:00;3865
01/01/2023;15:15;3871
01/01/2023;15:30;3866
01/01/2023;15:45;3866
01/01/2023;16:00;3877
01/01/2023;16:15;3830
01/01/2023;16:30;3861
01/01/2023;16:45;3871
01/01/2023;17:00;3932
01/01/2023;17:15;3971
01/01/2023;17:30;3995
01/01/2023;17:45;4005
01/01/2023;18:00;4063
01/01/2023;18:15;4083
01/01/2023;18:30;4117
01/01/2023;18:45;4180
01/01/2023;19:00;4157
01/01/2023;19:15;4223
01/01/2023;19:30;4209
01/01/2023;19:45;4228
01/01/2023;20:00;4227
01/01/2023;20:15;4187
01/01/2023;20:30;4179
01/01/2023;20:45;4113
01/01/2023;21:00;4072
01/01/2023;21:15;4006
01/01/2023;21:30;3946
01/01/2023;21:45;3918
01/01/2023;22:00;3895
01/01/2023;22:15;3837
01/01/2023;22:30;3903
01/01/2023;22:45;4012
01/01/2023;23:00;4004
01/01/2023;23:15;4054
01/01/2023;23:30;3945
01/01/2023;23:45;3851
02/01/2023;00:00;3790
02/01/2023;00:15;3669
02/01/2023;00:30;3592
02/01/2023;00:45;3484
02/01/2023;01:00;3405
02/01/2023;01:15;3319
02/01/2023;01:30;3260
02/01/2023;01:45;3166
02/01/2023;02:00;3128
02/01/2023;02:15;3104
02/01/2023;02:30;3061
02/01/2023;02:45;3024
02/01/2023;03:00;3010
02/01/2023;03:15;2983
02/01/2023;03:30;2967
02/01/2023;03:45;2945
02/01/2023;04:00;2957
02/01/2023;04:15;2958
02/01/2023;04:30;2971
02/01/2023;04:45;2973
02/01/2023;05:00;3047
02/01/2023;05:15;3104
02/01/2023;05:30;3138
02/01/2023;05:45;3217
02/01/2023;06:00;3261
02/01/2023;06:15;3387
02/01/2023;06:30;3487
02/01/2023;06:45;3584
02/01/2023;07:00;3731
02/01/2023;07:15;3874
02/01/2023;07:30;3963
02/01/2023;07:45;4079
02/01/2023;08:00;4213
02/01/2023;08:15;4316
02/01/2023;08:30;4419
02/01/2023;08:45;4446
02/01/2023;09:00;4499
02/01/2023;09:15;4525
02/01/2023;09:30;4598
02/01/2023;09:45;4663
02/01/2023;10:00;4675
02/01/2023;10:15;4745
02/01/2023;10:30;4742
02/01/2023;10:45;4798
02/01/2023;11:00;4848
02/01/2023;11:15;4933
02/01/2023;11:30;4918
02/01/2023;11:45;4948
02/01/2023;12:00;4998
